"country","division_(yin)","district_(kayaing)","village|township","area_sq_km"
"MMR","Ayeyarwady","Bassein","Bassein West",1645.34927134338
"MMR","Ayeyarwady","Bassein","Kyaunggon",370.92555037993
"MMR","Ayeyarwady","Bassein","Kyonpyaw",1086.20969642149
"MMR","Ayeyarwady","Bassein","Ngaputaw",4099.9394645595
"MMR","Ayeyarwady","Bassein","Thabaung",1794.91506035887
"MMR","Ayeyarwady","Bassein","Yegyi",727.189711593233
"MMR","Ayeyarwady","Hinthada","Danubyu",582.705505539035
"MMR","Ayeyarwady","Hinthada","Henzada",732.367988664682
"MMR","Ayeyarwady","Hinthada","Ingapu",1760.8738070661
"MMR","Ayeyarwady","Hinthada","Kyangin",868.982543546334
"MMR","Ayeyarwady","Hinthada","Lemyethna",1020.95627597001
"MMR","Ayeyarwady","Hinthada","Myanaung",1585.00289963446
"MMR","Ayeyarwady","Hinthada","Zalun",526.301634211949
"MMR","Ayeyarwady","Maubin","Danubyu",771.874706346282
"MMR","Ayeyarwady","Maubin","Irrawaddy",611.216307177038
"MMR","Ayeyarwady","Maubin","Ma-Ubin",845.331731652236
"MMR","Ayeyarwady","Maubin","Pantanaw",1675.99402274743
"MMR","Ayeyarwady","Maubin","Yandoon",866.161759649459
"MMR","Ayeyarwady","Myoungmya","Einme",681.330285909843
"MMR","Ayeyarwady","Myoungmya","Labutta",2301.08171422489
"MMR","Ayeyarwady","Myoungmya","Moulmeingyun",1127.75079789472
"MMR","Ayeyarwady","Myoungmya","Myaungmya",1846.45352890072
"MMR","Ayeyarwady","Myoungmya","Wakema",1138.6428832759
"MMR","Ayeyarwady","Pharpon","Bogale",2466.10883384826
"MMR","Ayeyarwady","Pharpon","Dedaye",939.192401680709
"MMR","Ayeyarwady","Pharpon","Kyaiklat",851.074046363591
"MMR","Ayeyarwady","Pharpon","Pyapon",838.982498469969
"MMR","Bago","Pegu","Bago (Pegu)",2791.74207923094
"MMR","Bago","Pegu","Daik-U",1271.07291675253
"MMR","Bago","Pegu","Kawa",1011.20126996013
"MMR","Bago","Pegu","Kyauktaga",2903.26639974931
"MMR","Bago","Pegu","Nyaungiebin",755.833178448357
"MMR","Bago","Pegu","Shwegyin",2368.5656165878
"MMR","Bago","Pegu","Thanatpin",858.372304495286
"MMR","Bago","Pegu","Waw",1073.26158475935
"MMR","Bago","Pyay","Padaung",2185.64886205559
"MMR","Bago","Pyay","Paukkaung",1822.16235565676
"MMR","Bago","Pyay","Paungde",313.809498071914
"MMR","Bago","Pyay","Prome",866.202946775394
"MMR","Bago","Pyay","Shwedaung",809.662289821244
"MMR","Bago","Pyay","Thegon",1185.97720550925
"MMR","Bago","Taungoo","Kyaukki",2141.76886188408
"MMR","Bago","Taungoo","Oktwin",1408.20563405754
"MMR","Bago","Taungoo","Pyu",2195.21930805486
"MMR","Bago","Taungoo","Tantabin",563.064586543376
"MMR","Bago","Taungoo","Thoungoo",1942.0814483347
"MMR","Bago","Taungoo","Yedashe",2770.52729853837
"MMR","Bago","Thayarwady","Gyobingauk",993.761024725264
"MMR","Bago","Thayarwady","Letpatan",700.322899609157
"MMR","Bago","Thayarwady","Minhla",1897.67566658652
"MMR","Bago","Thayarwady","Monyo",527.537603285019
"MMR","Bago","Thayarwady","Nattalin",1100.87052147629
"MMR","Bago","Thayarwady","Okpo",1020.72517857529
"MMR","Bago","Thayarwady","Tharrawaddy",546.268800635723
"MMR","Bago","Thayarwady","Zigon",495.557529177275
"MMR","Chin","Mindat","Kanpetlet",2229.33592734686
"MMR","Chin","Mindat","Matupi",4924.89552549317
"MMR","Chin","Mindat","Mindat",3946.62183179715
"MMR","Chin","Mindat","Paletwa",9222.04932215754
"MMR","Chin","Palam","Falam",2057.54708608507
"MMR","Chin","Palam","Haka",3891.03948962145
"MMR","Chin","Palam","Thlangtlang",3855.20393140683
"MMR","Chin","Palam","Tiddim",2979.54081829745
"MMR","Chin","Palam","Tonzang",3706.9139154953
"MMR","Kachin","Bhamo","Bhamo",2312.90790511273
"MMR","Kachin","Bhamo","Mansi",2924.05762326176
"MMR","Kachin","Bhamo","Momauk",2471.28416198245
"MMR","Kachin","Bhamo","Shwegu",3002.42704019472
"MMR","Kachin","Myitkyina","Chipwi",3348.2368474486
"MMR","Kachin","Myitkyina","Hsawlaw",3448.07205017113
"MMR","Kachin","Myitkyina","Kamaing",6238.23841392479
"MMR","Kachin","Myitkyina","Mogaung",2267.75687199649
"MMR","Kachin","Myitkyina","Mohnyin",6694.85153616085
"MMR","Kachin","Myitkyina","Myitkyina",6328.05785435053
"MMR","Kachin","Myitkyina","Njangyang",4602.99498082065
"MMR","Kachin","Myitkyina","Tanai",12308.3594635076
"MMR","Kachin","Myitkyina","Waingmaw",4901.28960165523
"MMR","Kachin","Putao","Khawbude",5603.39209592109
"MMR","Kachin","Putao","Machanbaw",2777.05470277385
"MMR","Kachin","Putao","Nogmung",7622.68921053011
"MMR","Kachin","Putao","Putao",5299.5546356236
"MMR","Kachin","Putao","Sumpranbum",6592.94762764857
"MMR","Kayah","Bawlake","Bawlakhe",1886.05938815009
"MMR","Kayah","Bawlake","Pasawng",3414.5026454263
"MMR","Kayah","Loikaw","Dimawhso",1109.29162626217
"MMR","Kayah","Loikaw","Hsataw",2299.86563759299
"MMR","Kayah","Loikaw","Loi-Kaw",1382.72793528523
"MMR","Kayah","Loikaw","Phruhso",1575.84539219056
"MMR","Kayin","Hpa-an","Kawkareik",1466.58522372649
"MMR","Kayin","Hpa-an","Kya-In Seikkyi",8082.37961945234
"MMR","Kayin","Kawkareik","Hlaingbwe",4359.55868282512
"MMR","Kayin","Kawkareik","Pa-An",2700.44474594271
"MMR","Kayin","Kawkareik","Papun",6802.20051744875
"MMR","Kayin","Kawkareik","Thandaung",3526.05534591348
"MMR","Kayin","Myawady","Myawadi",3016.86580020203
"MMR","Magway","Magwe Minbu","Chauk",939.293096908077
"MMR","Magway","Magwe Minbu","Magwe",1583.15751934442
"MMR","Magway","Magwe Minbu","Myothit",1884.48726866191
"MMR","Magway","Magwe Minbu","Natmauk",2391.766990113
"MMR","Magway","Magwe Minbu","Taungdwingyi",2061.38264413485
"MMR","Magway","Magwe Minbu","Yenangyaung",1102.38161191552
"MMR","Magway","Minbu","Minbu (Sagu)",1746.78863848676
"MMR","Magway","Minbu","Ngape",1136.33687190324
"MMR","Magway","Minbu","Pwinbyu",1326.93359431153
"MMR","Magway","Minbu","Salin",2221.0517937762
"MMR","Magway","Minbu","Sidoktaya",2434.62439954771
"MMR","Magway","Pakokku","Gangaw",2132.44719218215
"MMR","Magway","Pakokku","Htilin",1233.04107738903
"MMR","Magway","Pakokku","Myaing",1635.37912215816
"MMR","Magway","Pakokku","Pakokku",1334.85609840427
"MMR","Magway","Pakokku","Pauk",2645.48737547395
"MMR","Magway","Pakokku","Saw",1832.53509977311
"MMR","Magway","Pakokku","Seikpyu",1449.20805439527
"MMR","Magway","Pakokku","Yesagyo",1071.11125650794
"MMR","Magway","Thayetmyo","Kama",940.822499455221
"MMR","Magway","Thayetmyo","Mindon",2528.05141118438
"MMR","Magway","Thayetmyo","Minhla",2516.61869478012
"MMR","Magway","Thayetmyo","Myayde (Aunglan)",2578.11677116759
"MMR","Magway","Thayetmyo","Sinbaungwe (Tantabin)",2268.34656246866
"MMR","Magway","Thayetmyo","Thayet",1015.4026105637
"MMR","Mandalay","Kyaukse","Kyaukse",1744.6643346984
"MMR","Mandalay","Kyaukse","Myitha",1002.53050955608
"MMR","Mandalay","Kyaukse","Singaing",523.234429960379
"MMR","Mandalay","Kyaukse","Tada-U",741.926758570271
"MMR","Mandalay","Mandalay","Amarapura",251.833476114409
"MMR","Mandalay","Mandalay","Mandalay",159.489584757994
"MMR","Mandalay","Mandalay","Maymyo",1421.19851644954
"MMR","Mandalay","Mandalay","Patheingyi",1024.57235766978
"MMR","Mandalay","Meiktila","Meiktila",1036.52672483157
"MMR","Mandalay","Meiktila","Pyawbwe",1712.75146703533
"MMR","Mandalay","Meiktila","Thazi",1557.98635919898
"MMR","Mandalay","Meiktila","Wudwin",1919.36252424287
"MMR","Mandalay","Myingyan","Kyaukpadaung",2103.76206091586
"MMR","Mandalay","Myingyan","Mahlaing",810.387044792779
"MMR","Mandalay","Myingyan","Myingyan",942.502565421509
"MMR","Mandalay","Myingyan","Natogyi",1315.70341124622
"MMR","Mandalay","Myingyan","Nyaungu",1500.96396332476
"MMR","Mandalay","Myingyan","Taungtha",1084.02307711719
"MMR","Mandalay","Pyin-Oo-Lwin","Madaya",1193.6648165579
"MMR","Mandalay","Pyin-Oo-Lwin","Mogok",1141.86303270607
"MMR","Mandalay","Pyin-Oo-Lwin","Singu",1381.22337034666
"MMR","Mandalay","Pyin-Oo-Lwin","Thabeikkyin",2517.22389779624
"MMR","Mandalay","Yamethin","Lewe",2212.431681654
"MMR","Mandalay","Yamethin","Pyinmana",2079.80721127236
"MMR","Mandalay","Yamethin","Tatkon",2738.62949951499
"MMR","Mandalay","Yamethin","Yamethin",2305.43897403097
"MMR","Mon","Mawlamyine","Chaungzon",437.716654572252
"MMR","Mon","Mawlamyine","Kyaikmaraw",1221.21543720683
"MMR","Mon","Mawlamyine","Moulmein",177.512554331253
"MMR","Mon","Mawlamyine","Mudon",731.318498337528
"MMR","Mon","Mawlamyine","Thanbyuzayat",953.531386265892
"MMR","Mon","Mawlamyine","Ye",2684.59165356493
"MMR","Mon","Thaton","Bilin",2121.9795084797
"MMR","Mon","Thaton","Kyaikto",870.993891515053
"MMR","Mon","Thaton","Paung",929.424570786089
"MMR","Mon","Thaton","Thaton",1420.47106769466
"MMR","Naypyitaw","Naypyitaw","Pyinmana",138.368117914889
"MMR","Rakhine","Buthidaung","Buthidaung",2165.93929855603
"MMR","Rakhine","Buthidaung","Ponnagyun & Rathedaung",1983.36657103046
"MMR","Rakhine","Buthidaung","Sittwe (Akyab)",115.063139146709
"MMR","Rakhine","Kyaunkpyu","An",6651.67382233311
"MMR","Rakhine","Kyaunkpyu","Kyaukpyu",1256.42514955891
"MMR","Rakhine","Kyaunkpyu","Man Aung",479.611186437634
"MMR","Rakhine","Kyaunkpyu","Ramree",1184.2450104118
"MMR","Rakhine","Maungtaw","Maungdaw",1690.23466635215
"MMR","Rakhine","Sittwe","Kyauktaw",1716.400718351
"MMR","Rakhine","Sittwe","Minbya",3220.83225651373
"MMR","Rakhine","Sittwe","Mrauk-Oo",1231.67834712721
"MMR","Rakhine","Sittwe","Myebon",2047.27919852409
"MMR","Rakhine","Sittwe","Pauktaw",966.996302185549
"MMR","Rakhine","Thandwe","Arakan (Sandoway)",3718.88498001319
"MMR","Rakhine","Thandwe","Gwa",2492.47484708837
"MMR","Rakhine","Thandwe","Taungup",4573.0529784522
"MMR","Sagaing","Hkamti","Homalin",10834.0478643249
"MMR","Sagaing","Hkamti","Khamti",8490.25391486107
"MMR","Sagaing","Hkamti","Lahe",4251.45752538674
"MMR","Sagaing","Hkamti","Lashe",2561.81584752693
"MMR","Sagaing","Hkamti","Nanyun",6775.9202207881
"MMR","Sagaing","Kalemyo","Kale",2717.03739658328
"MMR","Sagaing","Kalemyo","Kalewa",2277.04190661774
"MMR","Sagaing","Kalemyo","Mingin",3420.78185609372
"MMR","Sagaing","Katha","Banmauk",3479.26579918835
"MMR","Sagaing","Katha","Indaw",1571.76492355281
"MMR","Sagaing","Katha","Katha",2486.08934613733
"MMR","Sagaing","Katha","Kawlin",2106.70515488954
"MMR","Sagaing","Katha","Pinlebu",3454.59520938384
"MMR","Sagaing","Katha","Tigyaing",2313.56269725514
"MMR","Sagaing","Katha","Wuntho",874.169334056601
"MMR","Sagaing","Mawleik","Mawlaik",4012.21252998591
"MMR","Sagaing","Mawleik","Phaungbyin",3478.61335055398
"MMR","Sagaing","Monywa","Ayadaw",1293.48007578498
"MMR","Sagaing","Monywa","Budalin",1030.91499244484
"MMR","Sagaing","Monywa","Chaung-U",472.330937639492
"MMR","Sagaing","Monywa","Kani",3365.88935630865
"MMR","Sagaing","Monywa","Monywa",616.786942889455
"MMR","Sagaing","Monywa","Pale",1974.14398860594
"MMR","Sagaing","Monywa","Salingyi",798.825112762519
"MMR","Sagaing","Monywa","Yinmabin",732.049934244312
"MMR","Sagaing","Sagaing","Myaung",546.647692889921
"MMR","Sagaing","Sagaing","Myinmu",737.949762832786
"MMR","Sagaing","Sagaing","Ngazun",1108.34595450155
"MMR","Sagaing","Sagaing","Sagaing",1284.44646353383
"MMR","Sagaing","Shwebo","Kanbalu",3229.9580030555
"MMR","Sagaing","Shwebo","Khin-U",1075.13257013075
"MMR","Sagaing","Shwebo","Kyunhla",2641.91600534557
"MMR","Sagaing","Shwebo","Shwebo",958.80831083569
"MMR","Sagaing","Shwebo","Tabayin",1390.85202338282
"MMR","Sagaing","Shwebo","Tantabin",844.804019982604
"MMR","Sagaing","Shwebo","Taze",1773.59395281361
"MMR","Sagaing","Shwebo","Wetlet",1431.6548456162
"MMR","Sagaing","Shwebo","Ye-U",1473.79945686466
"MMR","Sagaing","Tamu","Tamu",1720.01286818807
"MMR","Shan","Kengtung","Keng Tung",5414.67805752056
"MMR","Shan","Kengtung","Mong Yang",2672.96212547935
"MMR","Shan","Kengtung","Mongkhak",2664.12955196208
"MMR","Shan","Kunlong","Ho-Pang",1417.87951761011
"MMR","Shan","Kunlong","Kunlong",827.78091776353
"MMR","Shan","Kyaukme","Hsipaw",5136.95471360221
"MMR","Shan","Kyaukme","Kyaukme",4222.21479279187
"MMR","Shan","Kyaukme","Mabein",4634.60950033477
"MMR","Shan","Kyaukme","Mong Mit",2876.46622828317
"MMR","Shan","Kyaukme","Namhsan",997.64215424387
"MMR","Shan","Kyaukme","Namtu",4233.08690820399
"MMR","Shan","Kyaukme","Nawnghkio",3416.85336284508
"MMR","Shan","Lasho","Hsenwi",1941.11206002354
"MMR","Shan","Lasho","Lashio",4347.58337665865
"MMR","Shan","Lasho","Man Hpang",1690.50544295448
"MMR","Shan","Lasho","Mong Mao",1865.91029154763
"MMR","Shan","Lasho","Mong Yai",2418.57208985325
"MMR","Shan","Lasho","Nampan",1764.22210761518
"MMR","Shan","Lasho","Pang-Yang",4511.96722824743
"MMR","Shan","Lasho","Pangwaum",1299.03449455051
"MMR","Shan","Lasho","Tangyan",4886.94552139104
"MMR","Shan","Lauking","Kong-Kyan",1107.00969747118
"MMR","Shan","Loilen","Ke-Hsi",3311.40107024236
"MMR","Shan","Loilen","Kunhing",2739.89947861337
"MMR","Shan","Loilen","Lai-Hka",3106.03335008126
"MMR","Shan","Loilen","Langkho",2309.20146608149
"MMR","Shan","Loilen","Loi Lem",1066.99703107843
"MMR","Shan","Loilen","Mawkmai",2623.86505588423
"MMR","Shan","Loilen","Mong Hsu",1875.24572500417
"MMR","Shan","Loilen","Mong Kung",6006.7757468268
"MMR","Shan","Loilen","Mong Nai",3396.31013408737
"MMR","Shan","Loilen","Mong Pan",5331.90812489032
"MMR","Shan","Loilen","Namsang",3521.18708177842
"MMR","Shan","Mongphat","Mong Hpayak",2134.77859201174
"MMR","Shan","Mongphat","Mong Yawng",4714.91812029116
"MMR","Shan","Mongsat","Mong Hsat",4981.04281231141
"MMR","Shan","Mongsat","Mong Ping",6198.36232580021
"MMR","Shan","Mongsat","Mong Tung",4816.79617819636
"MMR","Shan","Muse","Kutkai",4006.67013571144
"MMR","Shan","Muse","Mu-Se",2039.29946043368
"MMR","Shan","Muse","Namhkan",1749.04645265665
"MMR","Shan","Tarchilaik","Tachilek",3497.53731805426
"MMR","Shan","Taunggye","Ho-Pong",999.062502682539
"MMR","Shan","Taunggye","Hsi Hseng",2134.06379029349
"MMR","Shan","Taunggye","Kalaw",1806.11403407383
"MMR","Shan","Taunggye","Lawksawk",4416.19378907423
"MMR","Shan","Taunggye","Pekhon",1832.90937623816
"MMR","Shan","Taunggye","Pindaya",769.558184658869
"MMR","Shan","Taunggye","Pinlaung",3585.03583366384
"MMR","Shan","Taunggye","Taunggyi",1664.26233447868
"MMR","Shan","Taunggye","Yawunghwe",1284.37182431182
"MMR","Shan","Taunggye","Ye-Ngan",3488.68946342501
"MMR","Tanintharyi","Dawei","Launglon",842.202273776897
"MMR","Tanintharyi","Dawei","Tavoy",6630.17758644438
"MMR","Tanintharyi","Dawei","Thayetchaung",2177.02217778528
"MMR","Tanintharyi","Dawei","Yebyu",4082.82293064934
"MMR","Tanintharyi","Kawthoung","Bokpyin",6016.86554519564
"MMR","Tanintharyi","Kawthoung","Kawthaung",2610.46317456674
"MMR","Tanintharyi","Mergui","Mergui",4905.83658501941
"MMR","Tanintharyi","Mergui","Palaw",2235.28805313123
"MMR","Tanintharyi","Mergui","Tenasserim",11800.2381331619
"MMR","Yangon","Yangon-E","Yangon (Rangoon)",166.3939864818
"MMR","Yangon","Yangon-N","Hlegu",2055.16672288652
"MMR","Yangon","Yangon-N","Hmawbi",1433.53295624687
"MMR","Yangon","Yangon-N","Htantabin",276.97643144058
"MMR","Yangon","Yangon-N","Taikkyi",1044.50846985601
"MMR","Yangon","Yangon-S","Insein",425.658451961665
"MMR","Yangon","Yangon-S","Kawkhmu",1433.64852625995
"MMR","Yangon","Yangon-S","Kayan",540.441041030716
"MMR","Yangon","Yangon-S","Kungyangon",201.682374813725
"MMR","Yangon","Yangon-S","Kyauktan",750.657910082985
"MMR","Yangon","Yangon-S","Syriam",385.012776984245
"MMR","Yangon","Yangon-S","Thongwa",740.280656705706
"MMR","Yangon","Yangon-W","Yangon (Rangoon)",101.599107159036
